Kg,Diet day
89.9926528,1
89.811216,2
89.0854688,3
87.1803824,4
86.9082272,5
86.636072,6
86.18248,7
86.636072,8
86.3639168,9
85.9103248,10
85.9103248,11
85.6381696,12
85.1845776,13
84.6402672,14
85.3660144,15
85.0031408,16
84.7309856,17
84.7309856,18
84.4588304,19
83.91452,20
83.91452,21
84.0959568,22
84.0959568,23
83.460928,24
83.1887728,25
82.9166176,26
82.553744,27
82.9166176,28
83.1887728,29
82.7351808,30
83.007336,31
82.9166176,32
82.9166176,33
82.553744,34
82.553744,35
82.100152,36
81.873356,37
81.2836864,38
81.2836864,39
81.0115312,40
82.0094336,41
82.100152,42
82.1908704,43
82.2815888,44
82.3723072,45
82.4630256,46
